type,4
string type,android.sensor.gyroscope
name,em7180 gyroscope
reporting made,continuous
wake up,false
max delay (μs),10000
min delay (μs),5000
fifo max event count,0
fifo reserved event count,0
max range,34.9
max resolution,0.00266
power (mA),5.0
version,104
vendor,EM Micro
