type,1
string type,android.sensor.accelerometer
name,em7180 accelerometer
reporting made,continuous
wake up,false
max delay (μs),62500
min delay (μs),5000
fifo max event count,184
fifo reserved event count,184
max range,156.96
max resolution,0.1
power (mA),0.13
version,104
vendor,EM Micro
