mag_0,mag_1,mag_2,mag_3,mag_4,mag_5,mag_6,mag_7,mag_8,mag_9,mag_10,mag_11,mag_12,mag_13,mag_14,mag_15,mag_16,mag_17,mag_18,mag_19,mag_20,mag_21,mag_22,mag_23,mag_24,mag_25,mag_26,mag_27,mag_28,mag_29,mag_30,mag_31,mag_32,mag_33,mag_34,mag_35,mag_36,mag_37,mag_38,mag_39,mag_40,mag_41,mag_42,mag_43
0.035679168808228585,0.03708011047325567,-0.020618213247792096,0.019253100655406443,0.04307405590357673,0.02319973012449507,-0.026048423444670843,0.018744935349209412,0.04322019003537699,0.06734908876444101,-0.018080602554930776,0.024670521335364473,0.02158406686444857,0.02424039975775328,-0.01409316275322987,0.07505662795073749,0.03356726689229132,0.03258596813839938,0.05262807104967732,0.010891635030866013,0.03606038037313213,0.017413880664780394,0.01664096808694146,0.02333537771340516,0.010315521413529297,0.030812896097958727,0.7690588172133666,0.9864440130111884,0.5799581175919362,0.9358704004755816,0.7821447692288652,1.727276452506635,0.3567179496787737,1.341849839620129,1.0922495464111661,0.8016343917559065,0.5090528506423979,0.9017027818279387,0.4696261011986735,2.1527387164255263,0.03754638836298596,1.4733352301095564,0.9521073026525837,3
0.035330677414549115,0.03708011047325567,0.024136012664477003,0.014425382864776353,0.04265333596321189,0.02319973012449507,0.030492704221960654,0.014044640083045243,0.042798042749898575,0.06734908876444101,0.021165444697004276,0.018484384521011234,0.021373247448130562,0.02424039975775328,0.01649768341254871,0.05623616757150359,0.032944169569381815,0.03304385647149829,0.01575353274154033,0.007592159812860235,0.011370679423483385,0.009041194187123073,0.014714682391990037,0.00956102281313128,0.008831782032131249,0.030390099123465117,0.3787256931115005,0.10388127895039266,0.4168410522578614,0.2228140065618457,0.3851699157589324,0.18189748695372868,0.2563886615136402,0.3194704510562539,0.5378820933542783,0.08441919132543729,0.3658783616956679,0.21467930756752998,0.23126900920813995,0.22670242624887205,0.026986217726710896,0.3507747712317935,0.25214415531652795,3
0.03830922293671372,0.03708011047325567,0.030715600462350626,0.006201237186361113,0.046249216714320564,0.02319973012449507,0.03880515530541012,0.006037562064623113,0.04640612297701659,0.06734908876444101,0.026935242036808412,0.00794613590039156,0.023175114696068744,0.02424039975775328,0.020995027608682097,0.0241750126725839,0.03429754442980481,0.03445888720728684,0.010332385188233434,0.005942422203857346,0.008687710615505224,0.0065629420740507,0.0049227301093202995,0.010533330217856494,0.007348042650733194,0.029580845237714593,0.2776465857168448,0.07648462401755796,0.4168410522578614,0.15554603110248383,0.28237089264452897,0.1339255835119077,0.2563886615136402,0.2230217098247263,0.39432531104795443,0.062155281236725236,0.3658783616956679,0.1498672133194197,0.16954500831780972,0.16691409665636966,0.026986217726710896,0.24487519576487096,0.12988995849259913,3
0.03818263064932102,0.034008717611376554,0.030715600462350626,0.004203386564530747,0.0460963868293694,0.021278066877205404,0.03880515530541012,0.004092442604964969,0.04625277459753126,0.061770477809806365,0.026935242036808412,0.005386131812068429,0.023098532856107905,0.022232536516926135,0.020995027608682097,0.016386556490500654,0.03454971979407294,0.0345902342119782,0.007380276894279612,0.0029627940733113114,0.006004741807527072,0.004309612057409348,0.0029429364783980115,0.0031870076043770935,0.005864303269335147,0.029115832396768862,0.22970883635847147,0.05849038206002037,0.043481878797353844,0.12877352557271365,0.23361745653529345,0.10241742896486494,0.0267446323834138,0.18463532402483854,0.32624211140091264,0.047532248386937294,0.038165815222978405,0.12407214308273952,0.14027180082376423,0.12764486208879117,0.002815009323184327,0.2027273988313761,0.08277572300021732,3
0.04061803913374067,0.03964891330724628,0.03371224547783856,0.006624662284596045,0.04903655961673948,0.024806940343963104,0.04259102546489888,0.0064498113035225966,0.04920292228948397,0.07201483888968845,0.029563071464707734,0.008488703983678462,0.024571830057970857,0.02591970456024824,0.02304332371510873,0.02582570056083838,0.03523324852933846,0.03496443748771641,0.010332384308319861,0.014544625450800985,0.01868496134127644,0.006989762794088132,0.0039060828345908387,0.008426664174285196,0.007418699223523238,0.0301553892884081,0.1789211333291248,0.04517980069997333,0.043481878797353844,0.10029595815274187,0.18196557325088175,0.07911042578056743,0.0267446323834138,0.14380422256480516,0.25411128817198053,0.03671539547715356,0.038165815222978405,0.09663426092594486,0.10925826788108046,0.09859688424721426,0.002815009323184327,0.15789533305993678,0.05574455559330401,3
0.04335226965212752,0.043725491717709626,0.03250707345545577,0.010258680142655682,0.05233748848185078,0.027357513083553678,0.04106844779119775,0.009987913089121052,0.05251504996937411,0.079419181479755,0.02850622739751589,0.013145258618953813,0.026225899261457093,0.028584688268555453,0.02221955274849024,0.03999262002075018,0.0361227686454958,0.03538126652268418,0.015243621943246405,0.012575040754338351,0.025360443256364943,0.010686459558641132,0.009845460218640611,0.01912204562626256,0.02070169476678263,0.03160841861625446,0.14033600502423274,0.03327759701773618,0.2375542732067494,0.0715235542481333,0.142723898104307,0.05826951045024872,0.14611378081505988,0.10255038491242824,0.19931107270609058,0.027043061636087544,0.208511056729901,0.06891230644648003,0.08569624250084264,0.07262244034611498,0.015379222617215244,0.11259910795648279,0.03658542926649725,3
0.04932048794184005,0.04579170269287598,0.03250707345545577,0.015134042441723151,0.059542683469367925,0.028650269129647528,0.04106844779119775,0.014734595337121974,0.059744689483692014,0.08317206745006271,0.02850622739751589,0.01939244611199798,0.02983636516998664,0.029935433435779656,0.02221955274849024,0.05899881859393445,0.03860907847774349,0.03913747099541606,0.017229586888517247,0.014881306595495452,0.04602569109876811,0.013115816544599862,0.01278839669703861,0.022255036152599363,0.07227930415096208,0.02962414682491191,0.12466759616723654,0.024763361213828997,0.2375542732067494,0.05793627019671041,0.1267888827903368,0.043360971474696156,0.14611378081505988,0.08306895359885115,0.17705814213174315,0.020123962173871957,0.208511056729901,0.0558210794769889,0.0761283218180525,0.054041634122863544,0.015379222617215244,0.09120872712566032,0.026643885978998017,3
0.05369848216690207,0.04579170269287598,0.04804401981120591,0.0030772148096466652,0.06482806354673022,0.028650269129647528,0.060697353208356224,0.0029959949669851648,0.06504800087522097,0.08317206745006271,0.04213094592183712,0.003943078830451632,0.03248482709447282,0.029935433435779656,0.03283951826384527,0.011996268612832088,0.040977551369010747,0.041140751093705234,0.004428165080671479,0.00991525971125206,0.031333242864602026,0.0038257161866380334,0.0029429364783980115,0.00740033969151969,0.014766741874256428,0.027884995143781753,0.11214409189721727,0.024763361213828997,0.36914121812941714,0.05004507354446687,0.11405228431701955,0.043360971474696156,0.2270496687240119,0.07175456545617351,0.15927173678504802,0.020123962173871957,0.3240102753602699,0.04821798190101746,0.06848083848903376,0.054041634122863544,0.023898138703913746,0.07878566296040324,0.0203121876244841,3
0.05363978198807812,0.04629429455170022,0.04804401981120591,0.0030568282436069004,0.06475719713171357,0.028964723303021703,0.060697353208356224,0.0029761464828761664,0.06497689403701189,0.08408493160500241,0.04213094592183712,0.0039169559102300725,0.0324493164974771,0.030263993071050405,0.03283951826384527,0.011916793263389602,0.040963108044758445,0.04095141603256113,0.004911237634926542,0.007592159812860236,0.012009479426187934,0.003908271514090361,0.0029429364783980115,0.007346322613479401,0.010315523730062282,0.028236197655590694,0.09533297650632726,0.019903382215218354,0.027523496622062566,0.04079233207039393,0.09695511869900997,0.034851084270502916,0.01692902467471097,0.05848799600732465,0.13539588652576795,0.016174496966409106,0.0241584935017076,0.03930304803574451,0.05821512356435287,0.04343559382728985,0.001781866417475354,0.06421912684394958,0.015282827808508797,3
0.053764439033855096,0.04629429455170022,0.04863031971398672,0.0029023596455935784,0.06490769067564765,0.028964723303021703,0.061438066671237856,0.002825754920754994,0.06512789814915047,0.08408493160500241,0.042645086278849366,0.0037190230727542867,0.032524727615534155,0.030263993071050405,0.033240271707065075,0.011314610150203505,0.04075316882238534,0.040430516618188556,0.0044281650806714725,0.005285893971703135,0.008016966319077584,0.0036845445815758262,0.0029429364783980115,0.005293673470843219,0.004451218144194141,0.028350518903206744,0.08025297844390825,0.015131422274638841,0.027523496622062566,0.035568106272773674,0.0816185263077545,0.02649531959562069,0.01692902467471097,0.05099750742566448,0.1139786416091302,0.012296560505755031,0.0241584935017076,0.034269553085783895,0.04900651618917395,0.033021639480343395,0.001781866417475354,0.055994659103790576,0.010520702611232911,3
