type,11
string type,android.sensor.rotation_vector
name,em7180 quaternion
reporting made,continuous
wake up,false
max delay (μs),1000000
min delay (μs),5000
fifo max event count,0
fifo reserved event count,0
max range,1.0
max resolution,5.96E-8
power (mA),5.0
version,104
vendor,EM Micro
