mag_0,mag_1,mag_2,mag_3,mag_4,mag_5,mag_6,mag_7,mag_8,mag_9,mag_10,mag_11,mag_12,mag_13,mag_14,mag_15,mag_16,mag_17,mag_18,mag_19,mag_20,mag_21,mag_22,mag_23,mag_24,mag_25,mag_26,mag_27,mag_28,mag_29,mag_30,mag_31,mag_32,mag_33,mag_34,mag_35,mag_36,mag_37,mag_38,mag_39,mag_40,mag_41,mag_42,mag_43,mag_44,mag_45,mag_46,mag_47,mag_48,mag_49
-0.05680710710974348,-0.057755644550143904,-0.05415797450510196,0.012841242398141032,0.019582675081105207,-0.1115117024734041,-0.11730168630797799,-0.10360306629896722,0.010252374303628875,0.012812265269920877,-0.10704799894902128,-0.09796332243887662,-0.10982418984860838,0.009075918012818065,0.012734179453606132,-0.04562775289847618,-0.042130262463567034,-0.04867642798488642,0.021137229637433256,0.014389017788908443,0.05803026810256999,0.05808034754556639,0.018478520366011702,0.017122138707253633,0.017011546431459728,0.011860922126017661,0.007606178892903696,0.005037970304860462,0.008112108994967377,0.0405512298990459,0.01111098076156344,0.00026679322680658445,0.03133313496529862,0.0008827060116242659,0.013922613125147322,0.0005946973687473813,0.03585091080242213,0.001853252187485609,0.011854342603478476,0.0008794783453124627,0.014575428580804264,0.0023240593074715394,0.0074634022180722305,0.0007498380889137535,0.0019870865053342964,0.001656871161171546,4.643008502250787e-05,-0.052864082705072625,0.02745182625527969,2
-0.05671461314552815,-0.057755644550143904,-0.05415797450510196,0.013383878690546025,0.019582675081105207,-0.11133013787800515,-0.11730168630797799,-0.10360306629896722,0.010685612008204467,0.012812265269920877,-0.10687370220539402,-0.09796332243887662,-0.10982418984860838,0.009459441845477765,0.012734179453606132,-0.04555346128324458,-0.042130262463567034,-0.04867642798488642,0.022030431990176798,0.013258338166668094,0.05787522554693585,0.057861550964230915,0.018478520366011702,0.017122138707253633,0.017011546431459728,0.01103216541919467,0.015212357785807224,0.005037970304860462,0.008112108994967377,0.040585674605405124,0.011187954871734563,0.0002903783957820541,0.03133313496529862,0.0009742751279073876,0.014019065524765574,0.0006472700599624494,0.03585091080242213,0.0020455026795215174,0.011936466539533064,0.0009572263662526592,0.014575428580804264,0.002565149833844117,0.007515106811655242,0.0008161255964451766,0.0019870865053342964,0.0018287497096639166,3.559456265243335e-05,-0.02265349234507359,-0.005599278337766443,2
-0.05670097300637713,-0.058269792964753396,-0.05415797450510196,0.012690852086234378,0.019582675081105207,-0.11130336244063309,-0.11834592149080769,-0.10360306629896722,0.010132303540886347,0.012171652006424817,-0.10684799856238536,-0.09883540493945536,-0.10982418984860838,0.008969625327229907,0.012734179453606132,-0.04554250545517396,-0.04250531165263666,-0.04867642798488642,0.020889680805361032,0.013051365451205894,0.05785465402636845,0.05783612606200004,0.016612888870344598,0.019056843645926358,0.013895570104905226,0.007675046692931921,0.015212357785807224,0.009824042094477892,0.008112108994967377,0.040605281537483974,0.011079604035729615,0.0002903783957820541,0.05755687467765001,0.000965005440769572,0.013883296522563565,0.0006472700599624494,0.0658557269299706,0.0020260408567410737,0.011820866669554057,0.0009572263662526592,0.02677408810600941,0.0025407438567846114,0.007442326029551221,0.0008161255964451766,0.0036501450968069653,0.0018113501710978791,3.6066197483692834e-05,-0.02994862863807525,-0.01695527051996655,2
-0.05664512156199628,-0.057755644550143904,-0.05415797450510196,0.012986155461482029,0.019582675081105207,-0.11119372669318206,-0.11730168630797799,-0.10360306629896722,0.01036807206252115,0.012171652006424817,-0.10674275142582845,-0.09796332243887662,-0.10982418984860838,0.009178339495186438,0.012734179453606132,-0.045497645295364916,-0.042130262463567034,-0.04867642798488642,0.02137576268605369,0.014460899475288783,0.05775936694929366,0.0577981732506984,0.018478520366011702,0.019056843645926358,0.010779593778350723,0.011011977027418145,0.015212357785807224,0.009824042094477892,0.008112108994967377,0.04056399207174784,0.011052283254324455,0.0002781539286185898,0.03778643672103438,0.0008895375480687073,0.013849062220664978,0.000620021023157923,0.04323468347254352,0.0018675950827336566,0.011791718036330619,0.0009169286634888468,0.017577350953247247,0.002342045925494929,0.007423974276009886,0.0007817680109638693,0.002396342356939136,0.0016696942025604445,3.400380778998406e-05,-0.009381268968015666,0.008386017027263612,2
-0.05659500056697709,-0.057755644550143904,-0.053292965952429903,0.013399652397847826,0.019582675081105207,-0.11109533975238163,-0.11730168630797799,-0.10194832312862924,0.010698205645673484,0.012171652006424817,-0.1066483028172807,-0.09796332243887662,-0.10807008319344948,0.009470590367543672,0.012734179453606132,-0.04545738786117903,-0.042130262463567034,-0.04789897042844687,0.022056396181423597,0.013589316204086715,0.05767030770250018,0.057645000298323465,0.014836119716942119,0.011414759138169089,0.010779593778350723,0.011011977027418145,0.015212357785807224,0.009824042094477892,0.008112108994967377,0.04054133809006588,0.010752232425103736,0.00027566241287130613,0.03778643672103438,0.0008833198343471624,0.013473083564705906,0.0006144672919900158,0.04323468347254352,0.001854540915883236,0.011471592801270834,0.0009087154334418578,0.017577350953247247,0.0023256754292533093,0.007222425909362797,0.0007747654591044995,0.002396342356939136,0.0016580233286590741,3.03970007462473e-05,0.036219818595720904,0.01636356893262904,2
-0.05659209501892301,-0.058269792964753396,-0.053292965952429903,0.013824983185402788,0.019582675081105207,-0.11108963619473518,-0.11834592149080769,-0.10194832312862924,0.011037787307764217,0.012171652006424817,-0.10664282756742441,-0.09883540493945536,-0.10807008319344948,0.009771205155154488,0.012734179453606132,-0.04545505411043214,-0.04250531165263666,-0.04789897042844687,0.022756508697773344,0.014082115407158844,0.057684701357339524,0.05772325999157879,0.012970488221275016,0.015187433768580906,0.010779593778350723,0.00987181108459793,0.015212357785807224,0.009824042094477892,0.008112108994967377,0.040602146266560966,0.010580733025205048,0.00027566241287130613,0.005756875041582117,0.0008969931148234509,0.013258186262008358,0.0006144672919900158,0.006586931497439574,0.0018832481373353227,0.011288619516885099,0.0009087154334418578,0.0026779612416735093,0.002361675540656327,0.00710722734777139,0.0007747654591044995,0.0003650898233034379,0.0016836885714482165,3.0008302903991577e-05,-0.0021688333730286407,-0.004604577737882956,2
-0.05657522654361777,-0.057755644550143904,-0.053292965952429903,0.014070355057913861,0.019582675081105207,-0.11105652357036258,-0.11730168630797799,-0.10194832312862924,0.011233690803903346,0.012171652006424817,-0.1066110404087638,-0.09796332243887662,-0.10807008319344948,0.009944628795057472,0.012734179453606132,-0.04544150526659619,-0.042130262463567034,-0.04789897042844687,0.023160401207160473,0.01516703148245386,0.05770672856775467,0.05777189784746685,0.014836119716942119,0.015187433768580906,0.01549566605637916,0.009176954539170263,0.015212357785807224,0.009824042094477892,0.008112108994967377,0.040673861906279786,0.010212187306749634,0.0002976734952219622,0.005756875041582117,0.0008932569255530274,0.012796380093219508,0.000663531254047444,0.006586931497439574,0.0018754039617580752,0.010895416854998672,0.0009812745104319396,0.0026779612416735093,0.002351838601365039,0.006859669999630132,0.00083662890339915,0.0003650898233034379,0.0016766756088385563,2.9307105417798676e-05,0.028338708109000688,0.0007423560983683334,2
-0.056251497727081344,-0.057755644550143904,-0.053292965952429903,0.016454418910495993,0.019582675081105207,-0.110421047600746,-0.11730168630797799,-0.10194832312862924,0.013137113714443677,0.012812265269920877,-0.10600100191577362,-0.09796332243887662,-0.10807008319344948,0.011629634606215666,0.013441633867695361,-0.04518148466004595,-0.042130262463567034,-0.04789897042844687,0.02708467142649902,0.020536659377299538,0.05734198561637213,0.05727160173354833,0.014836119716942119,0.019056843645926358,0.017095762007853104,0.012000484824933813,0.014850158790907007,0.009824042094477892,0.008112108994967377,0.04092742799115655,0.010113154787099347,0.0002976734952219622,0.019415183444129618,0.0008395661196830618,0.01267228740622025,0.000663531254047444,0.02221456648493775,0.0017626794508608578,0.010789758727960837,0.0009812745104319396,0.009031481209477745,0.0022104771339404175,0.006793148461821689,0.00083662890339915,0.0012312731893296567,0.0015758960211904411,2.9840565730187606e-05,0.04833968185450773,0.016702863250729477,2
-0.055824298520842655,-0.05724149934643342,-0.05284991555822579,0.016277791181525947,0.01865016674391003,-0.10958246043785927,-0.11625745764648263,-0.10110077704176093,0.01299609514835361,0.024983917276345694,-0.10519598257035764,-0.0970912453845246,-0.10717164393219185,0.01150479787023485,0.012734179453606132,-0.04483835611834732,-0.041755215616710355,-0.04750076294738385,0.026793934693103295,0.01745531371115581,0.05682745709370541,0.056716719342429237,0.014836131367963799,0.01528416901551454,0.010863809354744089,0.013412212119994694,0.00724397989800348,0.014862012399338355,0.007892862805914206,0.04123663562099477,0.010299771138924527,0.00025466452342165827,0.06164202485067636,0.000795971348725341,0.01290612700373592,0.0005676617948849229,0.07052989549401206,0.0016711516901156184,0.010988860339008508,0.0008394963258607708,0.028674402729960996,0.002095697318387844,0.006918501292865977,0.0007157496531764099,0.003909217378915822,0.0014940670568166577,2.8879904282085514e-05,-0.04457460709232572,-0.012596513368130276,2
-0.05505553340442307,-0.05418111122910914,-0.05284991555822579,0.026606714348662665,0.03916522786603579,-0.10807338329424586,-0.11004181085186743,-0.10110077704176093,0.02124264818267991,0.05060844781618745,-0.10374731229719013,-0.09190031053719115,-0.10717164393219185,0.018805061888239907,0.025468358907212264,-0.04422088012716197,-0.039522793909230115,-0.04750076294738385,0.043795780318475114,0.04119449159471635,0.055713593708762964,0.05560967885739775,0.025941011395615072,0.07409920232281288,0.02484359779720912,0.03025785622094259,0.03006251657671457,0.044586037198015065,0.016224217989934783,0.0405782117523915,0.010248211070272108,0.00025673939555826965,0.05484771192650149,0.0007763938626132595,0.012841519665827734,0.0005722868036038458,0.06275594287554269,0.0016300485159161794,0.01093385072900369,0.0008463360988763159,0.025513850078857883,0.002044152140019845,0.006883867668796027,0.0007215812036107279,0.003478335261962045,0.0014573194061604032,2.586466589152412e-05,-0.02824319336097813,-0.08506057039595397,2
