type,10
string type,android.sensor.linear_acceleration
name,Linear Acceleration Sensor
reporting made,continuous
wake up,false
max delay (μs),0
min delay (μs),5000
fifo max event count,0
fifo reserved event count,0
max range,19.6133
max resolution,0.1
power (mA),7.53
version,3
vendor,AOSP
